date,value
1994-01-01,1.4131
1994-02-01,1.9822
1994-03-01,2.8296
1994-04-01,4.0373
1994-05-01,5.8149
1994-06-01,8.5729
1994-07-01,9.1593
1994-08-01,9.3297
1994-09-01,9.4724
1994-10-01,9.7206
1994-11-01,9.9937
1994-12-01,10.1646
1995-01-01,10.3374
1995-02-01,10.4428
1995-03-01,10.6047
1995-04-01,10.8624
1995-05-01,11.1524
1995-06-01,11.4044
1995-07-01,11.6735
1995-08-01,11.7891
1995-09-01,11.9058
1995-10-01,12.0737
1995-11-01,12.2512
1995-12-01,12.4423
1996-01-01,12.609
1996-02-01,12.7389
1996-03-01,12.7835
1996-04-01,12.9446
1996-05-01,13.1025
1996-06-01,13.2584
1996-07-01,13.4056
1996-08-01,13.4646
1996-09-01,13.4848
1996-10-01,13.5253
1996-11-01,13.5686
1996-12-01,13.6324
1997-01-01,13.7933
1997-02-01,13.8623
1997-03-01,13.933
1997-04-01,14.0556
1997-05-01,14.1132
1997-06-01,14.1894
1997-07-01,14.2206
1997-08-01,14.2178
1997-09-01,14.2263
1997-10-01,14.259
1997-11-01,14.2832
1997-12-01,14.3446
1998-01-01,14.4464
1998-02-01,14.5129
1998-03-01,14.5622
1998-04-01,14.5971
1998-05-01,14.6701
1998-06-01,14.673
1998-07-01,14.6554
1998-08-01,14.5807
1998-09-01,14.5486
1998-10-01,14.5515
1998-11-01,14.534
1998-12-01,14.582
1999-01-01,14.6841
1999-02-01,14.8383
1999-03-01,15.0015
1999-04-01,15.0855
1999-05-01,15.1308
1999-06-01,15.1595
1999-07-01,15.3247
1999-08-01,15.4105
1999-09-01,15.4583
1999-10-01,15.6423
1999-11-01,15.7909
1999-12-01,15.8856
2000-01-01,15.9841
2000-02-01,16.0049
2000-03-01,16.0401
2000-04-01,16.1075
2000-05-01,16.1091
2000-06-01,16.1462
2000-07-01,16.4062
2000-08-01,16.6211
2000-09-01,16.6593
2000-10-01,16.6826
2000-11-01,16.736
2000-12-01,16.8347
2001-01-01,16.9307
2001-02-01,17.0086
2001-03-01,17.0732
2001-04-01,17.1722
2001-05-01,17.2426
2001-06-01,17.3323
2001-07-01,17.5628
2001-08-01,17.6857
2001-09-01,17.7352
